"Parent1" "Parent2"
"375" "F16.INT.502" "F16.INT.612"
"376" "F16.INT.502" "F16.INT.681"
"377" "F16.INT.502" "F16.INT.686"
"378" "F16.INT.502" "F16.INT.701"
"379" "F16.INT.503" "F16.INT.504"
"380" "F16.INT.503" "F16.INT.505"
"381" "F16.INT.503" "F16.INT.609"
"382" "F16.INT.503" "F16.INT.612"
"383" "F16.INT.503" "F16.INT.681"
"384" "F16.INT.503" "F16.INT.686"
"385" "F16.INT.503" "F16.INT.701"
"386" "F16.INT.504" "F16.INT.505"
"387" "F16.INT.504" "F16.INT.609"
"388" "F16.INT.504" "F16.INT.612"
"389" "F16.INT.504" "F16.INT.681"
"390" "F16.INT.504" "F16.INT.686"
"391" "F16.INT.504" "F16.INT.701"
"392" "F16.INT.505" "F16.INT.609"
"393" "F16.INT.505" "F16.INT.612"
"394" "F16.INT.505" "F16.INT.681"
"395" "F16.INT.505" "F16.INT.686"
"396" "F16.INT.505" "F16.INT.701"
"397" "F16.INT.609" "F16.INT.612"
"398" "F16.INT.609" "F16.INT.681"
"399" "F16.INT.609" "F16.INT.686"
"400" "F16.INT.609" "F16.INT.701"
"401" "F16.INT.612" "F16.INT.681"
"402" "F16.INT.612" "F16.INT.686"
"403" "F16.INT.612" "F16.INT.701"
"404" "F16.INT.681" "F16.INT.686"
"405" "F16.INT.681" "F16.INT.701"
"406" "F16.INT.686" "F16.INT.701"
